ID,In NGC_663?,,,,Alt Prob
Gaia DR3 511217042287245952,0.405286091,,,,0.594713909
,,,,,
Gaia DR3 511217454604080000,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511217759538905600,0.046783626,,,,0.953216374
,,,,,
Gaia DR3 511217076646968576,0.970100906,,,,0.029899094
,,,,,
Gaia DR3 511193712023507584,0.868421053,,,,0.131578947
,,,,,
Gaia DR3 511264218210401280,0,,,,1
,,,,,
Gaia DR3 511240647423369984,0,,,,1
,,,,,
Gaia DR3 511264282624230144,0,,,,1
,,,,,
Gaia DR3 511217110999858432,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511216934904623104,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217454597018624,0,,,,1
,,,,,
Gaia DR3 511240647428817792,0.067251462,,,,0.932748538
,,,,,
Gaia DR3 511264664882580224,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264115131186944,0,,,,1
,,,,,
Gaia DR3 511217488963795584,0.964424951,,,,0.035575049
,,,,,
Gaia DR3 511217690827584768,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217076646979584,0.815009747,,,,0.184990253
,,,,,
Gaia DR3 511217110999639552,0,,,,1
,,,,,
Gaia DR3 511264660581365888,0,,,,1
,,,,,
Gaia DR3 511217690827584384,0,,,,1
,,,,,
Gaia DR3 511240647428954112,0.684210526,,,,0.315789474
,,,,,
Gaia DR3 511264282624236800,0,,,,1
,,,,,
Gaia DR3 511264218210463744,0,,,,1
,,,,,
Gaia DR3 511217763841681536,0.929824561,,,,0.070175439
,,,,,
Gaia DR3 511217763841682560,0.929824561,,,,0.070175439
,,,,,
Gaia DR3 511193712023507712,0.280701754,,,,0.719298246
,,,,,
Gaia DR3 511216939208043904,0,,,,1
,,,,,
Gaia DR3 511217076646976256,0.945419103,,,,0.054580897
,,,,,
Gaia DR3 511264183845875712,0.014619883,,,,0.985380117
,,,,,
Gaia DR3 511217454604071424,0.976608187,,,,0.023391813
,,,,,
Gaia DR3 511264183850594432,0.66374269,,,,0.33625731
,,,,,
Gaia DR3 511264664886999936,0.967836257,,,,0.032163743
,,,,,
Gaia DR3 511217042287251328,0.950138504,,,,0.049861496
,,,,,
Gaia DR3 511216939208042752,0,,,,1
,,,,,
Gaia DR3 511264183850594048,0,,,,1
,,,,,
Gaia DR3 511264355649276288,0,,,,1
,,,,,
Gaia DR3 511217042280169728,0,,,,1
,,,,,
Gaia DR3 511264316984393344,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511264218211789952,0.32748538,,,,0.67251462
,,,,,
Gaia DR3 511217450300769280,0,,,,1
,,,,,
Gaia DR3 511264218210328576,0.920467836,,,,0.079532164
,,,,,
Gaia DR3 511217110998948224,0,,,,1
,,,,,
Gaia DR3 511193712013936128,0,,,,1
,,,,,
Gaia DR3 511240647423525632,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217763841679360,0.903508772,,,,0.096491228
,,,,,
Gaia DR3 511217695122208640,0.935185185,,,,0.064814815
,,,,,
Gaia DR3 511240647422706944,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264321289540352,0.739766082,,,,0.260233918
,,,,,
